id,created_time,permalink_url,status_type,full_picture,icon,message,shares,like,love,haha,wow,sad,angry,message_tags,story,engagements
1003344626383879_3969791889739123,2021-03-09T15:04:03Z,https://www.facebook.com/1003344626383879/posts/3969791889739123/,shared_story,https://external.fdpa1-1.fna.fbcdn.net/safe_image.php?url=https%3A%2F%2Fwww.kron4.com%2Fwp-content%2Fuploads%2Fsites%2F11%2F2021%2F03%2FFidel-Rodriguez-Navarrete-2.jpg%3Fw%3D1280&ccb=3-4&_nc_hash=AQGUvOwc6KtxtvTh,https://www.facebook.com/images/icons/post.gif,"""Police Chief Shawny Williams said the girl showed courage in calling for help. ""All the credit for stopping this human trafficker belongs to her,"" the chief said.""",1,4,0,0,0,0,1,,,6
1003344626383879_3967542879964024,2021-03-08T17:32:10Z,https://www.facebook.com/helperase/photos/a.1029649477086727/3967542879964024/?type=3,added_photos,https://scontent.fdpa1-1.fna.fbcdn.net/v/t1.0-9/p720x720/158906136_3967542886630690_1481412365362740414_o.png?_nc_cat=102&ccb=1-3&_nc_sid=da1649&_nc_ohc=qvhoKcEGXlEAX_JkUxu&_nc_ht=scontent.fdpa1-1.fna&_nc_tp=30&oh=7037e1c0fedf01c47b2ea5b6531e4928&oe=6081CE77,https://www.facebook.com/images/icons/photo.gif,"Board member, Kelley Alsobrook is committed to challenging inequality, calling out bias, questioning stereotypes, and helping forge an inclusive world, today and every day!  #ChooseToChallenge #IWD2021 #warrior #phoenixrising",1,2,5,0,0,0,0,#ChooseToChallenge #IWD2021 #Warrior #phoenixrising,,8
1003344626383879_3967511643300481,2021-03-08T17:16:02Z,https://www.facebook.com/helperase/photos/a.1029649477086727/3967511643300481/?type=3,added_photos,https://scontent.fdpa1-1.fna.fbcdn.net/v/t1.0-9/p720x720/158420874_3967511646633814_8418966680686029265_o.jpg?_nc_cat=103&ccb=1-3&_nc_sid=da1649&_nc_ohc=GOQb8UI-06gAX_WkngG&_nc_ht=scontent.fdpa1-1.fna&tp=6&oh=b87cda9e9d632516473e3350bee9681d&oe=60817A6A,https://www.facebook.com/images/icons/photo.gif,"Today is International Women's Day. We celebrate women's achievements all across the world. Together, we can accomplish even more achievements every day. The women pictured here work to create a cultural shift in the perception of human trafficking through education and awareness.   #ChooseToChallenge #IWD2021#HelpERASE #ChildTrafficking",3,7,3,0,0,0,0,#ChooseToChallenge #IWD2021 #childtrafficking,,13
1003344626383879_3949853835066262,2021-03-01T20:14:45Z,https://www.facebook.com/1003344626383879/posts/3949853835066262/,mobile_status_update,https://scontent.fdpa1-1.fna.fbcdn.net/v/t1.0-9/151978060_10157867632195404_504020983276778531_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=da1649&_nc_ohc=0ifSQksvvZgAX-ucDLP&_nc_ht=scontent.fdpa1-1.fna&oh=72489deb2f36b120d9fd2d894139dd72&oe=6080E7E0,,"Midnight is the deadline but that's more than enough time for all the super-super-smart students from University of South Carolina, Emory University, and the Atlanta University Center Data Science Initiative Clark Atlanta University Spelman College Morehouse College Darla Moore School of Business Undergrad Division to send in their submission.",,3,0,0,0,0,0,University of South Carolina Emory University Spelman College Morehouse College Darla Moore School of Business Undergrad Division,,
1003344626383879_3939893236062322,2021-02-26T17:54:36Z,https://www.facebook.com/1003344626383879/posts/3939893236062322/,mobile_status_update,https://scontent.fdpa1-1.fna.fbcdn.net/v/t1.0-0/p180x540/131341966_1670375989791025_82761703387456200_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=110474&_nc_ohc=8R8TrYVvGa8AX-q_Wqd&_nc_ht=scontent.fdpa1-1.fna&tp=6&oh=25580d2d32593b3898b19467ca11c339&oe=608004DB,,"Ret. SA Victor Williams from @SFHTTF (and an ERASE Law Enforcement Instructor  [smile] ) is now the statewide HT Coordinator for Georgia. His wealth of knowledge, passion for improving the efforts in the fight against HT, and his desire to learn more and grow in this field makes him a champion for individuals who have been trafficked.  #makingadifference #endhtga",,5,1,0,0,0,0,#makingadifference #endhtga,,
1003344626383879_3939626686088977,2021-02-26T16:28:38Z,https://www.facebook.com/1003344626383879/posts/3939626686088977/,shared_story,https://external.fdpa1-1.fna.fbcdn.net/safe_image.php?d=AQFarpXrF83bIjgp&url=https%3A%2F%2Fstatic.reuters.com%2Fresources%2Fr%2F%3Fm%3D02%26d%3D20210225%26t%3D2%26i%3D1552947199%26r%3DLYNXMPEH1O1PY%26w%3D800&ccb=3-4&_nc_hash=AQH4vxUfjGHcjVLQ,https://www.facebook.com/images/icons/post.gif,"""According to the Attorney General's office, Geddert used his reputation as an Olympic-level coach and promised parents that he could turn his students into world-class athletes.- Geddert was charged with 20 counts of human trafficking.""  https://buff.ly/2NGDEGJ",2,2,0,0,2,0,2,"",,8
1003344626383879_3915269961857983,2021-02-19T15:04:03Z,https://www.facebook.com/1003344626383879/posts/3915269961857983/,shared_story,https://external.fdpa1-1.fna.fbcdn.net/safe_image.php?d=AQGShsJ6UqT-OuN3&url=https%3A%2F%2Fs1.econotimes.com%2Fassets%2Fuploads%2F20210215e07a2726e6e4e3cf9_th_1024x0.jpg&ccb=3-4&_nc_hash=AQHLAliHqAV5atKX,https://www.facebook.com/images/icons/post.gif,"""The chocolate manufacturers 'knowingly profited' from the scheme."" #chocolate #Child #labor",4,0,0,0,2,1,1,#chocolate #child #labor,,8
1003344626383879_3911750008876645,2021-02-18T06:12:16Z,https://www.facebook.com/1003344626383879/posts/3911750008876645/,mobile_status_update,https://scontent.fdpa1-1.fna.fbcdn.net/v/t1.0-9/s720x720/152085920_10157950276390936_8823128715239329141_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&_nc_ohc=248_vJS3XzYAX8_zwji&_nc_ht=scontent.fdpa1-1.fna&tp=7&oh=e4757fc6313166308e1ea1f747e0bdc0&oe=60806EDA,,,1,3,0,0,0,0,0,,,4
1003344626383879_3910722168979429,2021-02-17T20:05:29Z,https://www.facebook.com/helperase/photos/a.1029649477086727/3910722168979429/?type=3,added_photos,https://scontent.fdpa1-1.fna.fbcdn.net/v/t1.0-9/p720x720/150084945_3910722172312762_6763118917137655206_o.png?_nc_cat=100&ccb=1-3&_nc_sid=da1649&_nc_ohc=fQsbbpDK0HsAX-MxMTe&_nc_ht=scontent.fdpa1-1.fna&_nc_tp=30&oh=c2907affbaee6403d31c355a149f9d29&oe=607F3907,https://www.facebook.com/images/icons/photo.gif,"""There isn't Always a trafficker but there is Always a sex buyer"" No Demand = No Supply #stopbuyingsex #helperase #childtrafficking",5,10,2,0,0,0,0,#stopbuyingsex #helpERASE #childtrafficking,,17
1003344626383879_3893349514050028,2021-02-11T03:15:35Z,https://www.facebook.com/1003344626383879/posts/3893349514050028/,mobile_status_update,https://scontent.fdpa1-1.fna.fbcdn.net/v/t1.0-9/147684703_2350739798382973_6580427673907791656_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=8024bb&_nc_ohc=inNcGGugkUgAX-rvIP7&_nc_ht=scontent.fdpa1-1.fna&oh=2b5fb92c38bc064e09d65f07d5c0a450&oe=607EB831,,,1,3,0,0,0,0,0,,,4
